service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2016/01/01 05:00:00+00,Rail,Blue Line,1145383,60283,19,1570201,50652,31,1
2016/01/01 05:00:00+00,Ferry,Boat-F1,59503,2975,20,,,31,2
2016/01/01 05:00:00+00,Ferry,Boat-F3,16191,810,20,,,31,3
2016/01/01 05:00:00+00,Ferry,Boat-F4,8172,409,20,,,31,4
2016/01/01 05:00:00+00,Bus,Bus,6985521,367659,19,8225148,265328,31,5
2016/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2827718,134653,21,2794459,90144,31,6
2016/01/01 05:00:00+00,Rail,Green Line,3417417,179864,19,4737150,152811,31,7
2016/01/01 05:00:00+00,Rail,Orange Line,4094142,215481,19,5277916,170255,31,8
2016/01/01 05:00:00+00,Rail,Red Line,4696897,247205,19,6000298,193558,31,9
2016/01/01 05:00:00+00,Bus,Silver Line,669761,35251,19,772265,24912,31,10
2016/01/01 05:00:00+00,The RIDE,The RIDE,113748,5987,19,173378,5593,31,11
2016/02/01 05:00:00+00,Rail,Blue Line,1223715,61186,20,1517324,52322,29,12
2016/02/01 05:00:00+00,Ferry,Boat-F1,58596,2790,21,,,29,13
2016/02/01 05:00:00+00,Ferry,Boat-F3,16811,841,20,,,29,14
2016/02/01 05:00:00+00,Ferry,Boat-F4,8539,427,20,,,29,15
2016/02/01 05:00:00+00,Bus,Bus,7469019,373451,20,8191566,282468,29,16
2016/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2615220,124534,21,2584080,89106,29,17
2016/02/01 05:00:00+00,Rail,Green Line,3813404,190670,20,4817192,166110,29,18
2016/02/01 05:00:00+00,Rail,Orange Line,4360890,218045,20,5222213,180076,29,19
2016/02/01 05:00:00+00,Rail,Red Line,5081211,254061,20,6094219,210145,29,20
2016/02/01 05:00:00+00,Bus,Silver Line,730265,36513,20,734150,25316,29,21
2016/02/01 05:00:00+00,The RIDE,The RIDE,113282,5664,20,165757,5716,29,22
2016/03/01 05:00:00+00,Rail,Blue Line,1472440,64019,23,1756951.6,56676,31,23
2016/03/01 05:00:00+00,Ferry,Boat-F1,67941,2954,23,,,31,24
2016/03/01 05:00:00+00,Ferry,Boat-F3,20169,877,23,,,31,25
2016/03/01 05:00:00+00,Ferry,Boat-F4,13081,569,23,,,31,26
2016/03/01 05:00:00+00,Bus,Bus,8679363,377364,23,9456633,305052,31,27
2016/03/01 05:00:00+00,Commuter Rail,Commuter Rail,3084894,134126,23,3048753,98347,31,28
2016/03/01 05:00:00+00,Rail,Green Line,4499554,195633,23,5413830.4700000035,174640,31,29
2016/03/01 05:00:00+00,Rail,Orange Line,5092407,221409,23,5893406.28,190110,31,30
2016/03/01 05:00:00+00,Rail,Red Line,5992503,260544,23,6926056,223421,31,31
2016/03/01 05:00:00+00,Bus,Silver Line,901662,39203,23,833048,26873,31,32
2016/03/01 05:00:00+00,The RIDE,The RIDE,137440,5976,23,194761,6283,31,33
2016/04/01 04:00:00+00,Rail,Blue Line,1414182,67342,21,1772106.8,59070,30,34
2016/04/01 04:00:00+00,Ferry,Boat-F1,65615,3125,21,,,30,35
2016/04/01 04:00:00+00,Ferry,Boat-F3,20486,976,21,,,30,36
2016/04/01 04:00:00+00,Ferry,Boat-F4,16274,775,21,,,30,37
2016/04/01 04:00:00+00,Bus,Bus,6231752,389485,16,8822203,294073,30,38
2016/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2732306,130110,21,2699878,89996,30,39
2016/04/01 04:00:00+00,Rail,Green Line,4384568,208789,21,5588800.44,186293,30,40
2016/04/01 04:00:00+00,Rail,Orange Line,4643144,221102,21,5577146.75,185905,30,41
2016/04/01 04:00:00+00,Rail,Red Line,5533494,263500,21,6621164,220705,30,42
2016/04/01 04:00:00+00,Bus,Silver Line,650905,40682,16,823949,27465,30,43
2016/04/01 04:00:00+00,The RIDE,The RIDE,125259,5965,21,182090,6070,30,44
2016/05/01 04:00:00+00,Rail,Blue Line,1419431,67592,21,1798362.1,58012,31,45
2016/05/01 04:00:00+00,Ferry,Boat-F1,69197,3295,21,,,31,46
2016/05/01 04:00:00+00,Ferry,Boat-F3,21414,1020,21,,,31,47
2016/05/01 04:00:00+00,Ferry,Boat-F4,20506,976,21,,,31,48
2016/05/01 04:00:00+00,Bus,Bus,8092982,385380,21,8963275,289138,31,49
2016/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2656886,120768,22,2625761,84702,31,50
2016/10/01 04:00:00+00,Ferry,Boat-F3,22053,1050,21,,,31,51
2016/10/01 04:00:00+00,Ferry,Boat-F4,22379,1066,21,,,31,52
2016/10/01 04:00:00+00,Bus,Bus,7676816,383841,20,8712708,281055,31,53
2016/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2845193,135485,21,2850318,91946,31,54
2016/10/01 04:00:00+00,Rail,Green Line,4204618,200220,21,5406758.75,174412,31,55
2016/10/01 04:00:00+00,Rail,Orange Line,4614199,219724,21,5581443.8,180047,31,56
2016/10/01 04:00:00+00,Rail,Red Line,5620051,267621,21,6774528.1,218533,31,57
2016/10/01 04:00:00+00,Bus,Silver Line,715177,35759,20,777673,25086,31,58
2016/10/01 04:00:00+00,The RIDE,The RIDE,148136,7054,21,180972,5838,31,59
2016/10/01 04:00:00+00,Rail,Blue Line,1442037,68668,21,1822732,58798,31,60
2016/11/01 04:00:00+00,Rail,Blue Line,1381174,65770,21,1695374.6,56512,30,61
2016/11/01 04:00:00+00,Ferry,Boat-F1,66818,3182,21,,,30,62
2016/11/01 04:00:00+00,Ferry,Boat-F3,20214,963,21,,,30,63
2016/11/01 04:00:00+00,Ferry,Boat-F4,13222,630,21,,,30,64
2016/11/01 04:00:00+00,Bus,Bus,7403080,370154,20,8321161,277372,30,65
2016/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2760800,125491,22,2775855,92529,30,66
2016/11/01 04:00:00+00,Rail,Green Line,3999842,190469,21,4949912.35,164997,30,67
2016/11/01 04:00:00+00,Rail,Orange Line,4462162,212484,21,5257746.859999999,175258,30,68
2016/11/01 04:00:00+00,Rail,Red Line,5379346,256159,21,6283477.2,209449,30,69
2016/11/01 04:00:00+00,Bus,Silver Line,683466,34173,20,704047,23468,30,70
2016/11/01 04:00:00+00,The RIDE,The RIDE,147798,7038,21,178721,5957,30,71
2016/12/01 05:00:00+00,Rail,Blue Line,1286666,61270,21,1593364.2,51399,31,72
2016/12/01 05:00:00+00,Ferry,Boat-F1,58582,2790,21,,,31,73
2016/12/01 05:00:00+00,Ferry,Boat-F3,18851,898,21,,,31,74
2016/12/01 05:00:00+00,Ferry,Boat-F4,10447,497,21,,,31,75
2016/12/01 05:00:00+00,Bus,Bus,7119231,339011,21,7732417,249432,31,76
2016/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2732358,124198,22,2751074,88744,31,77
2016/12/01 05:00:00+00,Rail,Green Line,3668669,174699,21,4593935.7,148191,31,78
2016/12/01 05:00:00+00,Rail,Orange Line,4108977,195666,21,4904247.57,158202,31,79
2016/12/01 05:00:00+00,Rail,Red Line,4916564,234122,21,5834454.2,188208,31,80
2016/12/01 05:00:00+00,Bus,Silver Line,666184,31723,21,672813,21704,31,81
2016/12/01 05:00:00+00,The RIDE,The RIDE,145378,6923,21,178366,5754,31,82
2017/01/01 05:00:00+00,Rail,Blue Line,1233388,61669,20,1652563,50078,33,83
2017/01/01 05:00:00+00,Ferry,Boat-F1,63397,3019,21,,,33,84
2017/01/01 05:00:00+00,Ferry,Boat-F3,17594,838,21,,,33,85
2017/01/01 05:00:00+00,Ferry,Boat-F4,9486,452,21,,,33,86
2017/01/01 05:00:00+00,Bus,Bus,6857420,342871,20,8003644,242534,33,87
2017/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2530346,126517,20,2835036,85910,33,88
2017/01/01 05:00:00+00,Rail,Green Line,3522211,176111,20,4798905.68,145421,33,89
2017/01/01 05:00:00+00,Rail,Orange Line,4120364,206018,20,5256903.770000001,159300,33,90
2017/01/01 05:00:00+00,Rail,Red Line,4908606,245430,20,6248087,189336,33,91
2017/01/01 05:00:00+00,Bus,Silver Line,668607,33430,20,704132,21337,33,92
2017/01/01 05:00:00+00,The RIDE,The RIDE,139868,6993,20,171395,5194,33,93
2017/02/01 05:00:00+00,Rail,Blue Line,1162523,61185,19,1407076.5,50253,28,94
2017/02/01 05:00:00+00,Ferry,Boat-F1,48613,2431,20,,,28,95
2017/02/01 05:00:00+00,Ferry,Boat-F3,16303,815,20,,,28,96
2017/02/01 05:00:00+00,Ferry,Boat-F4,10328,516,20,,,28,97
2017/02/01 05:00:00+00,Bus,Bus,6320900,332679,19,7301412,260764,28,98
2017/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2366827,124570,19,2566103,91647,28,99
2017/02/01 05:00:00+00,Rail,Green Line,3480091,183163,19,4465770.359999999,159492,28,100
2017/07/01 04:00:00+00,Bus,Bus,6928955,329950,21,8661443,279401,31,101
2017/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2698676,134934,20,2644878,85319,31,102
2017/07/01 04:00:00+00,Rail,Green Line,3626476,181324,20,4821551.930000003,155534,31,103
2017/07/01 04:00:00+00,Rail,Orange Line,4067013,203351,20,5096206.17,164394,31,104
2017/07/01 04:00:00+00,Rail,Red Line,5145860,257293,20,6456710.2,208281,31,105
2017/07/01 04:00:00+00,Bus,Silver Line,760559,36217,21,944674,30473,31,106
2017/07/01 04:00:00+00,The RIDE,The RIDE,128361,6418,20,160754,5186,31,107
2017/07/01 04:00:00+00,Rail,Blue Line,1389657,69483,20,1882494.5,60726,31,108
2017/07/01 04:00:00+00,Ferry,Boat-F1,70720,3536,20,,,31,109
2017/08/01 04:00:00+00,Rail,Blue Line,1577814,68601,23,1910350.2,61624,31,110
2017/08/01 04:00:00+00,Ferry,Boat-F1,82468,3586,23,,,31,111
2017/08/01 04:00:00+00,Ferry,Boat-F3,43125,1875,23,,,31,112
2017/08/01 04:00:00+00,Ferry,Boat-F4,36977,1849,20,,,31,113
2017/08/01 04:00:00+00,Bus,Bus,7518350,326885,23,8927405,287981,31,114
2017/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2867065,124655,23,2926175,94393,31,115
2017/08/01 04:00:00+00,Rail,Green Line,3982377,173147,23,4792516.38,154597,31,116
2017/08/01 04:00:00+00,Rail,Orange Line,4586310,199405,23,5326273.46,171815,31,117
2017/08/01 04:00:00+00,Rail,Red Line,5763699,250596,23,6692491.4,215887,31,118
2017/08/01 04:00:00+00,Bus,Silver Line,788706,34292,23,932853,30092,31,119
2017/08/01 04:00:00+00,The RIDE,The RIDE,149390,6495,23,173923,5610,31,120
2017/09/01 04:00:00+00,Rail,Blue Line,1434393,71720,20,1843973.6,61466,30,121
2017/09/01 04:00:00+00,Ferry,Boat-F1,69395,3470,20,,,30,122
2017/09/01 04:00:00+00,Ferry,Boat-F3,25149,1257,20,,,30,123
2017/09/01 04:00:00+00,Ferry,Boat-F4,26195,1310,20,,,30,124
2017/09/01 04:00:00+00,Bus,Bus,7400408,370020,20,9089873,302995,30,125
2017/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2526284,126314,20,3193780,106459,30,126
2017/09/01 04:00:00+00,Rail,Green Line,3968313,198416,20,5179945.72,172665,30,127
2017/09/01 04:00:00+00,Rail,Orange Line,4413644,220682,20,5334998.9,177833,30,128
