service_date,route_or_line,average_monthly_ridership
2022/01/01 ,Blue Line,797367
2022/01/01 ,Green Line,1955158
2022/01/01 ,Orange Line,1986122
2022/01/01 ,Red Line,2148255
2022/02/01 ,Blue Line,887788
2022/02/01 ,Green Line,2394233
2022/02/01 ,Orange Line,2271725
2022/02/01 ,Red Line,2625136
2022/03/01 ,Blue Line,1112833
2022/03/01 ,Green Line,2861864
2022/03/01 ,Orange Line,2777631
2022/03/01 ,Red Line,3359469
2022/04/01 ,Blue Line,1019266
2022/04/01 ,Green Line,2878507
2022/04/01 ,Orange Line,2793194
2022/04/01 ,Red Line,3286475
2022/05/01 ,Blue Line,808015
2022/05/01 ,Green Line,2741708
2022/05/01 ,Orange Line,2825014
2022/05/01 ,Red Line,3483042
2022/06/01 ,Blue Line,1152060
2022/06/01 ,Green Line,2711185
2022/06/01 ,Orange Line,2869831
2022/06/01 ,Red Line,3431343
2022/07/01 ,Blue Line,1152608
2022/07/01 ,Green Line,2659999
2022/07/01 ,Orange Line,2722347
2022/07/01 ,Red Line,3264353
2022/08/01 ,Blue Line,1145314
2022/08/01 ,Green Line,2452184
2022/08/01 ,Orange Line,2041865
2022/08/01 ,Red Line,3296640
2022/09/01 ,Blue Line,1206808
2022/09/01 ,Green Line,2627640
2022/09/01 ,Orange Line,1618080
2022/09/01 ,Red Line,3396728
2022/10/01 ,Blue Line,1234913
2022/10/01 ,Green Line,2661163
2022/10/01 ,Orange Line,2953184
2022/10/01 ,Red Line,3570084
2022/11/01 ,Blue Line,1166113
2022/11/01 ,Green Line,2575198
2022/11/01 ,Orange Line,2821277
2022/11/01 ,Red Line,3323345
2022/12/01 ,Blue Line,1069147
2022/12/01 ,Green Line,2296063
2022/12/01 ,Orange Line,2558359
2022/12/01 ,Red Line,2884821
